id,famous_name,born_on,died_on,lived_in,nick_name
303,"Ramla bint 'Abdullah ibn Ubayy","","",Medina,""
304,"Umm Sa'd/Sa'id bint 'Abdullah ibn Ubayy","","",Medina,""
305,"'Ubada bin 'Abdullah ibn Ubayy","","",Medina,""
306,"Muhammad bin 'Abdullah ibn Ubayy","","",Medina,""
307,"Ma'mar bin 'Abdullah ibn Ubayy","","",Medina,""
308,"'Abdullah bin 'Abs","","",Medina,""
309,"Umm Malik bint Ubayy bin Malik","","",Medina,""
310,"Zayd bin Wadi'a b. 'Amr","","",Medina/Iraq,""
311,"Zaynab bint Sahl bin al-Sa'b","","",Medina/Iraq,""
312,"Rifa'a bin 'Amr bin Zayd","","3 AH/625 CE",Medina,"Abu Walid"
313,"Ma'bad bin 'Abbad b. Qushayr","","",Medina,"Abu Humayda, Abu Khamisa"
314,"Mu'adha bint 'Abdullah bin 'Amr","","",Medina,""
315,"Aws bin Khawli","","~35 AH/655 CE",Medina,"Abu Layla"
316,"Khawla bint Khawli","","",Medina,""
317,"Fushum bint Aws bin Khawli","","",Medina,""
318,"'Abdullah bin Rabi' bin Qays","","",Medina,""
319,"Na'ila bint Rabi' bin Qays","","",Medina,""
320,"Abu Zayd al-Ansari","","~16 AH",Medina/Kufa,"Abu Zayd"
321,"Rafi' bin Malik bin al-'Ajlan","","3 AH/625 CE",Medinah,"Abu Malik"
322,"Malik bin Rafi' bin Malik","","",Medinah,""
323,"Rifa'a bin Rafi' bin Malik bin al-'Ajlan","","~42 AH",Medinah,"Abu Mu'adh"
324,"Khallad bin Rafi' bin Malik","","",Medinah,"Abu Mu'adh"
325,"Yahya bin Khallad bin Rafi' bin Malik","~9 AH","~129 AH",Medinah,""
326,"Umm Rafi' bint 'Uthman ibn Khalida","","",Medinah,""
327,"Umama bint 'Uthman ibn Khalida","","",Medinah,""
328,"Al Aswad bin Nawfal","","",Makkah/Abyssinia/Medina,""
329,"'Amir ibn al-Akwa'","","7 AH",Makkah/Medinah,""
330,"Thabit bin Khalid bin al-Nu'man","","4 AH/626 CE or 12 AH",Medina,""
331,"'Umara bin Hazm ibn Zayd","","12 AH/634 CE",Medina,""
332,"Suraqa bin Ka'b bin 'Amr","","~50 AH/670 CE",Medina,""
333,"Haritha bin al-Nu'man","","~40 AH",Medina,"Abu 'Abdullah"
334,"Sulaym bin Qays bin Qahd","","~20 AH",Medinah,""
335,"Suhayl bin Rafi'","","~20 AH",Medinah,""
336,"Mas'ud bin Aws bin Zayd","","~20 AH",Medinah,"Abu Muhammad"
337,"Abu Khuzayma bin Aws bin Zayd","","~30 AH",Medina,"Abu Khuzayma"
338,"Rafi' bin al-Harith bin Sawad","","~30 AH",Medina,""
339,"Sahl bin Rafi'","","~20 AH",Medinah,""
340,"al-Nu'man bin 'Amr bin Rifa'a","","~50 AH",Medina,""
341,"'Amir bin Mukhallad","","3 AH/625 CE",Medina,""
342,"'Abdullah bin Qays","","3 AH/625 CE",Medina,""
343,"Thabit bin 'Amr bin Zayd","","3 AH/625 CE",Medina,""
344,"Rabi'a bin 'Amr","","",Medina,""
345,"'Adi bin al-Zaghba'","","~20 AH",Medina,""
346,"Wadi'a bin 'Amr","","",Medina,""
347,"'Usayma","","~50 AH",Medina,""
348,"Abu al-Hamra","","",Medina,""
349,"Ubbay bin Mua'dh bin Anas","","4 AH/626 CE",Medina,""
350,"Anas bin Mua'dh bin Anas","","4 AH/626 CE",Medina,""
351,"Aus bin Thabit","","35 AH",Medina,"Abu Shadad"
352,"Abu Shaykh bin Thabit","","4 AH/626 CE",Medinah,"Abu Shaykh"
353,"'Asma bin al-Husain bin Wabara","","",Medinah,""
354,"Bujayr bin Abi Bujayr","","",Medina,""
355,"Tha'laba bin 'Amr bin Mihsan","","15 AH/637 CE",Medina,""
356,"al-Harith bin al-Samma","","4 AH/626 CE",Medina,""
357,"Sahl bin 'Atik","","",Medina,""
358,"Abu Akhzam/Ahzam bin 'Atik","","15 AH/637 CE",Medina,"Abu Akhzam"
359,"Abu 'Amra bin 'Amr bin Mihsan","","36 AH/656 CE",Medina,"Abu 'Amra"
360,"Haritha bin Suraqa","","2 AH/624 CE",Medina,""
361,"'Amr bin Tha'laba","","",Medina,"Abu Hakim"
362,"Muhriz bin 'Amir bin Malik","","3 AH/625 CE",Medinah,""
363,"Salit bin Qays bin 'Amr","","14 AH/636 CE",Medinah,""
364,"Abu Salit bin 'Amr bin Qays","","",Medinah,""
365,"'Amir bin Umayya bin Zayd","","3 AH/625 CE",Medinah,"Abu Hashim"
366,"Thabit bin Khansa'","","",Medinah,""
367,"Qays bin al-Sakan bin Qays","","14 AH/636 CE",Medinah,"Abu Zayd"
368,"Abu'l-Awwar (bin al-Harith) bin Zalim","","",Medinah,"Abu'l-Awwar"
369,"Sawad/Sawwad bin Ghaziya","","",Medinah,""
370,"Abu Da'ud, 'Umayr bin 'Amir","","",Medina,""
371,"Qays bin Mukhallad","","3 AH/625 CE",Medina,""
372,"'Usayma","","",Medina,""
373,Kaysan,"","3 AH/625 CE",Medina,""
374,"al-Nu'man bin 'Abdu 'Amr bin Mas'ud","","3 AH/625 CE",Medinah,""
375,"al-Dahhak bin 'Abdu 'Amr bin Mas'ud","","",Medinah,""
376,"Jabir bin Khalid bin Mas'ud","","",Medinah,""
377,"Ka'b bin Zayd bin Qays bin Malik","","5 AH/627 CE",Medinah,""
378,"Sulaym bin al-Harith bin Tha'laba","","3 AH/625 CE",Medinah,""
379,"Sa'id/Sa'd bin Suhayl bin Malik","","",Medinah,""
380,"'Amr bin Qays bin Malik","","",Medinah,""
381,"Qubta bin 'Abdu 'Amr bin Mas'ud","","4 AH/626 CE",Medinah,""
382,"Tamim al-Dari","","~40 AH",Medina/Syria/Palestine,"Abu Ruqaiyya"
383,"Sulaiman bin Sard","","~67 AH",Medina/Kufa,"Abu Mutraf"
384,"Zayd bin Arqam","","~68 AH or 65 AH",Medina/Kufa,"Abu 'Amr, Abu Sa'id"
385,"al-Bara' bin Malik","","20/23 AH","Medina,Damascus, Basrah",""
386,"Anas bin al-Nadr b. DamDam","","3 AH/625 CE",Medina,""
387,"al-Nadr bin Anas bin al-Nadr","","",Medina,""
388,"Abu Sarma, Malik bin Qays","","",Medinah,"Abu Sarma"
389,"Shadad bin Aus bin Thabit","","~58 AH",Medina/Syria/Palestine,"Abu Ya'la, Abu 'Abdur Rahman"
390,"Ka'b bin Malik bin Abi Ka'b","","40 AH or 50 AH/670 CE",Medina/Syria,"Abu 'Abdullah, Abu Basheer"
391,"Abu Qatada ibn Rab'i","","54 AH/674 CE",Medina/Kufa,"Abu Qatada"
392,"Samra b. Junada","","",Makkah/Medina/Kufa,""
393,"Jabir bin Samra","","~74 AH",Medina/Kufa,"Abu Khalid, Abu 'Abdullah"
394,"Samra bin Jundub","","~59 AH",Medina/Basra/Kufa,"Abu Sa'id, Abu 'Abdullah"
395,"Zayd bin al-Dathinna","","4 AH/626 CE",Medina,""
396,"Khubayb bin 'Adi","","4 AH/626 CE",Medina,""
397,"Barira, the client of 'Aisha","","~60 AH",Makkah/Medina,""
398,"Mu'awiya bin Hadeej","","~52 AH",Medina/Egypt,"Abu 'Abdur Rahman, Abu Na'im"
399,"Sahl bin Sa'd bin Malik","","88 or 91 AH",Medina,"Abu al-'Abbas"
400,"al-Bara' bin Azib bin al-Harith","","~72 AH",Medina/Kufa,"Abu 'Umara, Abu 'Amr"
401,"'Ubaid bin Azib bin al-Harith","","",Medina/Kufa,""
402,"Abu Mas'ud al-Badri","","~40 AH",Medina/Kufa,"Abu Mas'ud"
403,"Sahl bin Hunayf","","38 AH/658 CE",Medina/Kufa,"Abu 'Abdullah, Abu Sa'd"
404,"'Uthman bin Hunayf","","~50 AH/670 CE",Medina/Kufa,"Abu 'Amr"
405,"Abu Umama bin Sahl","~8 AH","100 AH",Medina/Kufa,"Abu Umama"
406,"'Abbad bin Hunayf","","",Medina/Kufa,""
407,"Abu Burda al-Asha'ari","","",Yemen/Makkah/Medina,"Abu Burda"
408,"Abu 'Amir al-Asha'ari","","8 AH/629 CE",Yemen/Makkah/Medina,"Abu 'Amir"
409,"Ibrahim bin Abi Musa al-Asha'ari","","",Makkah/Medina/Kufa,""
410,"Khuzayma bin Thabit","","37 AH/658 CE",Medina/Kufa,"Abu 'Umara"
411,"'Abdullah bin Thabit","","",Medina,""
412,"'Amara bin Aws bin Khalid","","",Medina,""
413,"Muhammad bin 'Abdullah bin Jahsh","","",Makkah/Medina,"Abu 'Abdullah"
414,"Fatima bint Abi Hubaysh","","",Makkah/Medina,"Umm Muhammad"
415,"Amina bint Ruqaysh al-Asadi","","",Makkah/Medinah,""
416,"'Abdur Rahman bin Ruqaysh al-Asadi","","",Makkah/Medinah,""
417,"Rayta bint Munabbih bin al-Hajjaj","","",Makkah/Medina,""
418,"Umm 'Abdullah bint Milhan","","",Medinah,""
419,"Abu Jandal bin Suhayl","","18 AH/640 CE",Makkah/Medinah/Syria,"Abu Jandal"
420,"Khalid ibn Hizam","","",Makkah/Abyssinia,""
421,"Juwayriyya bint Abi Jahl","","",Makkah/Medinah,""
422,"'Abdullah bin Abi Talha","","84 AH",Medinah,""
423,"Hakim ibn Hizam","","50-60 AH",Makkah/Medina/Syria,"Abu Khalid"
424,"al-Hunfa' bint Abi Jahl","","",Makkah/Medinah,""
425,"Hatib bin Abi Balta'ah","","30 AH",Makkah/Medinah,"Abu Muhammad"
426,"Arwa bint Kuraiz bin Rabi'a","","~32 AH/654 CE",Makkah/Medinah,""
427,"'Amir bin Kuraiz","","~32 AH/654 CE",Makkah/Medinah/Basrah,""
428,"'Utba bin Abi Lahab","","",Makkah/Medinah,""
429,"Dihya Kalbi","","~50 AH",Medina/Syria/Egypt,""
430,"Mu'attib bin Abi Lahab","","",Makkah/Medinah,""
431,"Zaynab bint al-'Awwam bin Khuwaylid","","",Makkah/Medina,"Umm Khalid"
432,"'Abdullah bin Hakim ibn Hizam","","36 AH",Makkah/Medina/Syria,""
433,"Khalid bin Hakim ibn Hizam","","",Makkah/Medina/Syria,""
434,"Hisham bin Hakim ibn Hizam","","~41 AH",Makkah/Medina/Syria,""
435,"Yahya bin Hakim ibn Hizam","","",Makkah/Medina/Syria,""
436,"Umm Habib bint al-'Awwam bin Khuwaylid","","",Makkah/Medina,""
437,"Umm al-Hasan bint Khalid ibn Hizam","","",Makkah/Abyssinia,""
438,Safinah,"","~70 AH",Makkah/Medinah,"Abu 'Abdur Rahman"
439,"al-Saib bin al-'Awwam bin Khuwaylid","","12 AH/634 CE",Makkah/Medina,""
440,"Zabiya bint Wahb","","",Makkah/Medina,""
441,"Rayta/Rabta/Fatima bint Sufyan","","",Makkah/Medina,""
442,"'Ai'sha bint Qudamah bin Maz'un","","",Makkah/Medinah,""
443,"Zaynab bint Uthman bin Maz'un","","",Makkah/Medinah,""
444,"'Abdur Rahman ibn Uthman bin Maz'un","","",Makkah/Abyssinia/Medinah,""
445,"Safiyah bint al-Khattab","","",Makkah/Medina,""
446,"Khawla bint Tha'laba","","",Medinah,""
447,"Khalid ibn Ribah","","",Makkah/Medina/Syria,""
448,"'Abdur Rahman ibn al-Harith","~1 AH","43 AH/663 CE",Makkah/Medina,"Abu Muhammad"
449,"Safwan bin Umayyah","","41 AH/661 CE",Makkah/Medinah,"Abu Wahb, Abu Umayya"
450,"al-Sakran bin 'Amr b. 'Abd Shams","","3 BH/620 CE",Makkah/Abyssinia,""
451,"'Abdur Rahman bin Hassan ibn Thabit","","~104 AH",Medinah,"Abu Sa'id, Abu Muhammad"
452,"Hassan ibn Thabit","","~54 AH",Medinah,"Abu 'Abdur Rahman,Abu al-Walid"
453,"Durrah bint Abi Lahab","","",Makkah,""
454,"Fatima bint al-Walid b. al-Mughirah","","",Makkah/Medina,""
455,"Salma bin Nua'ym ibn Mas'ud","","",Nejd/Medinah/Kufa,""
456,"Umm Sabir bint Nua'ym ibn Mas'ud","","",Nejd/Medinah/Kufa,""
457,"Zayd bin Sohan","","",Makkah/Medinah/Kufah,"Abu 'Aisha, Abu Sulayman"
458,"Sihan bin Sohan","","",Makkah/Medinah/Kufah,"Abu 'Aisha, Abu Sulayman"
459,"'Abdur Rahman bin Zayd ibn al-Khattab","5 AH/627 CE","~70 AH",Medina/Makkah,"Abu 'Abd al-Rahman"
460,"Sahel bin 'Amr b. 'Abd Shams","","~12 AH/633 CE",Makkah/Medinah,""
461,"Hatib bin 'Amr","","",Makkah/Abyssinia/Medinah,""
462,"Saleet bin 'Amr","","12 AH/633 CE",Makkah/Abyssinia/Medinah,""
463,"Nua'ym ibn Mas'ud","","~30 AH/650 CE",Nejd/Medinah,""
464,"Rabi'ah ibn Kab al-Aslami","","63 AH/681 CE",Makkah/Medinah,"Abu Faras"
465,"'Abdur Rahman bin Sakran bin 'Amr","","",Makkah/Abyssinia/Medinah,""
466,"Sa'sa'a bin Sohan","","",Makkah/Medinah/Kufah,"Abu 'Ikrama, Abu Talha"
467,"Wahb bin 'Umayr bin Wahb","","",Makkah/Medina/Egypt,""
468,"Qays bin 'Amr bin Qays","","3 AH/ 625 CE",Medinah,""
469,"'Amr bin Qays bin Zayd","","3 AH/ 625 CE",Medinah,""
470,"Qudamah bin Maz'un","~28 BH","36 AH/656 CE",Makkah/Abyssinia/Medinah/Bahrain,"Abu 'Umar"
471,"Suraqa bin Malik","","24 AH /646 CE or later",Makkah/Medinah,"Abu Sufyan"
472,"Shuja bin Wahb al-Asadi","","12 AH/634 CE",Makkah/Medinah,"Abu Wahb"
473,"Asma' bint Zayd ibn al-Khattab","","",Medina,""
474,"al-Sa'ib ibn Uthman bin Maz'un","~20 BH","12 AH/633 CE",Makkah/Abyssinia/Medinah,""
475,"Rafi'","","",Makkah/Medinah,""
476,Shuqran,"","",Abyssinia/Makkah/Medinah/Basrah,""
477,"Abu Kabsha","","13 AH/634 CE",Persia/Makkah/Medinah,"Abu Kabsha"
478,Ansa,"","~13 AH/635 CE",Abyssinia/Makkah/Medinah,"Abu Musrah"
479,"Abu Rafi'","","40 AH/660 CE",Makkah/Medinah/Kufa,""
480,"Dhakwan or Kisan or Tahman or Mihran","","",Makkah/Medinah,""
481,"al-Aswad bin Sufyan","","",Makkah/Medinah,""
482,"Abu 'Amr bin Hafs","","",Makkah/Medina/Syria,"Abu 'Amr"
483,"'Ady ibn al-Rabi' bin 'Abdul-'Uzza","","",Makkah/Medina,""
484,"Abu 'Aziz ibn 'Umair","","",Makkah/Abyssinia/Medinah,""
485,"Ash'uth bin Qays","","~40 AH or Later",Yeman/Medina/Kufa,"Abu Muhammad"
486,"Ibrahim ibn Qays","","",Yemen/Medinah,""
487,"'Abdullah bin Safwan bin Umayyah","","73 AH",Makkah/Medinah,"Abu Sufwan"
488,"'Abdur Rahman bin Safwan bin Umayyah","","",Makkah/Medinah,""
489,"Barza bint Mad'ud ibn 'Amr al-Thaqafiyya","","",Makkah/Medinah,""
490,"Halah bint Khuwaylid","","",Makkah/Medina,""
491,"Hizam bin Khuwaylid","","",Makkah/Medina,""
492,"Qays ibn Hudhaifa","","",Makkah/Abyssinia/Medinah,""
493,"Haram bin Milhan","","4 AH/626",Medinah,""
494,"al-Baghum bint al-Mu'adhil","","",Makkah/Medinah,""
495,"Sulaym bin Milhan","","4 AH/626 CE",Medinah,""
496,"Zayd al-Khayr","","9 AH/630 CE",Medina,""
497,"Rayta bint 'Abdullah","","",Makkah/Medina/kufa,"Umm 'Abd al-Rahman"
498,"Zaynab bint. Abi Mu'awiya","","",Makkah/Medina/kufa,""
499,"Umm 'Abdullah bin Mas'ud","","",Makkah/Medina,"Umm 'Abdullah"
500,"Abu Quhafa Uthman bin 'Amir","~85 BH/538 CE","13 AH/634 CE",Makkah/Medina,"Abu Quhafa"
501,"Salma Umm-ul-Khair","70 BH (est.)","",Makkah/Medina,Umm-ul-Khair
502,"Umm Farwa bint Abi Quhafa","","",Makkah/Medina,"Umm Farwa"
503,"Qurayba bint Abi Quhafa","","",Makkah/Medina,""
504,"Umm 'Amir bint Abi Quhafa","","",Makkah/Medina,""
505,"al-Tufayl ibn al-Harith","~40 BH","32 AH/653 CE",Makkah/Medinah,""
506,"al-Husayn ibn al-Harith","","32 AH/653 CE",Makkah/Medinah,""
507,"Mu'awiyah ibn al-Harith","","",Makkah/Medinah,""
508,"'Abdullah bin al-Husayn ibn al-Harith","","32 AH/653 CE",Makkah/Medinah,""
509,"Khadija bint al-Husayn ibn al-Harith","","",Makkah/Medinah,""
510,"al-Harith ibn Ubaydah","","",Makkah/Medinah,""
511,"Ibrahim ibn Ubaydah","","",Makkah/Medinah,""
512,"Muhammad ibn Ubaydah","","",Makkah/Medinah,""
513,"Rayta bint Ubaydah","","20 AH",Makkah/Medinah,""
514,"Safyah bint Ubaydah","","20 AH",Makkah/Medinah,""
515,"'Amir bin al-Tufayl ibn al-Harith","","2 AH/624 CE",Makkah/Medinah,""
516,"al-Qasim bin Muhammad","","",Makkah,"Tahir or Tayyib"
517,"'Abdullah bin Muhammad","","",Makkah,"Tahir or Tayyib"
518,"Ibrahim bin Muhammad","8 AH/630 CE","10 AH/631 CE",Medinah,""
519,"'Ali bin Abi 'Aas ibn al-Rabi'","","",Makkah/Medina,""
520,"Ma'bad bin al-'Abbas","","35 AH/655 CE",Makkah/Medina/Africa,"Abu Muhammad"
521,"'Abdur Rahman ibn al-'Abbas","","",Makkah/Medina/Syria,""
522,"Umm Habiba ibn al-'Abbas","","",Makkah/Medina,""
523,"Harith ibn al-'Abbas","","",Makkah/Medina,""
524,"Kathir ibn al-'Abbas","","",Makkah/Medina,"Abu Tamam"
525,"Mushir ibn al-'Abbas","","",Makkah/Medina,""
526,"Awn ibn al-'Abbas","","",Makkah/Medina,""
527,"Tammam ibn al-'Abbas","","",Makkah/Medina,""
528,"Safiya bint Mahmiya","","",Makkah/Medina,"Umm Salma"
529,"Fitimah bint Junayd bin 'Amr","","",Makkah/Medina,""
530,"'Abdullah ibn Nawfal ibn al-Harith","","84 AH/702 CE",Makkah/Medina,""
531,"Rabi'ah ibn Nawfal ibn al-Harith","","",Makkah/Medina,""
532,"Sa'eed ibn Nawfal ibn al-Harith","","",Makkah/Medina,""
533,"al-Mughira ibn Nawfal ibn al-Harith","","",Makkah/Medina,""
534,"Umm Khultum bint Fadl ibn al-'Abbas","","",Makkah/Medina,""
535,"Rayta bint Abi Talib","","",Makkah/Medina,"Umm Talib"
536,"Mughith, the husband of Barira","","",Makkah/Medina,""
537,"Khalida bint Abi Lahab","","",Makkah/Medina,""
538,"'Uzza bint Abi Lahab","","",Makkah/Medina,""
539,"'Abdullah ibn Abi Sufyan","","",Makkah/Medina,"Abu al-hiyaj"
540,"'Atika bint Abi Sufyan","","",Makkah/Medina,""
541,"Umm 'Amr bint al-Muqawwim","","",Makkah/Medina,""
542,"Hind bint al-Muqawwim","","",Makkah/Medina,""
543,"Arwa bint al-Muqawwim","","",Makkah/Medina,""
544,"'Abdullah bin Mas'ud bin Mu'attib","","",Makkah/Medina,""
545,"Umm 'Abdullah bin 'Aidy b. Khuwaylid","","",Makkah/Medinah,""
546,"'Umara bin Hamza","","",Makkah/Medina,""
547,"Ya'la bin Hamza","","",Makkah/Medina,""
548,"Fatima bin Hamza","","",Makkah/Medina,""
549,"Ammtullah bint Hamza","","",Makkah/Medina,"Umm Fadhal"
550,"Zayd ibn Zayd","","",Makkah/Medinah,""
551,"Ruqiyyah ibn Zayd","","",Makkah/Medinah,""
552,"Zaynab ibn Zayd","","",Makkah/Medinah,""
553,"Abu al-Rome  ibn 'Umair","","15 AH/636 CE",Makkah/Abyssinia/Medinah,"Abu al-Rome"
554,"Zaynab bint Mus'ab ibn 'Umair","","",Makkah/Medinah,""
555,"al-Walid bin 'Uqba","","after 40 AH",Makkah/Medina/Kufa,"Abu Wahb"
556,"'Ammarah bin 'Uqba","","after 40 AH",Makkah/Medina/Kufa,""
557,"Khalid bin 'Uqba","","",Makkah/Medina,""
558,"Umm Hakim bint 'Uqba","","",Makkah/Medina,""
559,"Hind  bint 'Uqba","","",Makkah/Medina,""
560,"'Abdur Rahman bin 'Umar (Akbar)","","",Makkah/Medina,""
561,"'Ubaidallah bin 'Umar","","37 AH/658 CE",Makkah/Medina/Iraq/Syria,""
562,"Zayd bin 'Umar","","",Makkah/Medina/Iraq/Syria,""
563,"'Asim bin 'Umar","~6 AH","~70 AH/ 692 CE",Medina,"Abu 'Umar"
564,"Jamila bint Thabit ibn Abi al-Aflah","","",Medina,"Umm 'Asim"
565,"Khawlah bint Ja'far","","",Medina,""
567,"Zayd bin 'Amr bin Nufayl","","~18 BH",Makkah/Syria,"Abu Sa'id"
568,"Fatima bint Ba'aja","","",Makkah/Medina,"Umm Sa'id"
570,"Amnah bint Affaan","","",Makkah/Medinah,""
571,"'Abdullah bin 'Uthman","2 BH/620 CE","4 AH/625 CE or 1 AH","Abyssinia, Makkah, Medinah",""
572,"Ramlah bint Shayba bin Rabi'a","","","Makkah, Medinah",""
573,"Umm 'Amr bint Jundub al-Dausi","","","Makkah, Medinah","Umm Aban"
574,"Fatima bint al-Walid b. 'Abd Shams","","","Makkah, Medinah","Umm 'Abdullah"
575,"Na'ilah bint al-Furafisah","","",Makkah/Medinah,""
576,"Fakhitah bint Ghazwan","","",Makkah/Medinah,""
577,"Muhammad As-Sajjad ibn Talha","","36 AH/656 CE",Medinah,"Abu 'Isa"
578,"'Imran ibn Talha","","",Medinah,"Abu 'Isa"
579,"Musa ibn Talha","10 AH/631 CE","104 AH",Medinah/Kufa,"Abu 'Isa, Abu Muhammad"
580,"Khawla bint al-Qa'Qa'","","",Makkah/Medina,""
581,"Umm Aban bint 'Utba b. Rabi'a","","",Makkah/Medinah,""
582,"Suada bint 'Auf al-Murriya","","",Makkah/Medina,""
583,"al-Jarba' bint Qasama al-Tayyi'","","",Hijaz/Medina,""
584,"Ibrahim bin 'Abdur Rahman","6 AH","97 AH",Medinah,"Abu Ishaq, Abu Muhammad"
585,"as-Sa'bah bint al-Hadrami","","~9-10 AH",Makkah/Medinah,""
586,"al-'Ala' bin al-Hadrami","","14 AH/636 CE or 21 AH",Makkah/Medinah/Bahrain,""
587,"Khayra bint Qays","","",Makkah/Medina/Kufah,""
588,"Muhammad bin 'Abdur-Rahman","","",Medina,""
589,"al-Shifa' bint 'Awf","","~10 AH",Makkah/Medinah,"Umm 'Abdur Rahman"
590,"'Atika bint 'Awf","","",Makkah/Medinah,""
591,"al-Shifa' bint 'Awf","","",Makkah/Medinah,""
592,"'Abdullah Ibn 'Awf","","",Makkah/Medinah,""
593,"Tumadir bint al-Asbagh Kalbia","","",Makkah/Medinah,""
594,"Halah bint 'Awf","","",Makkah/Medinah,""
595,"Sahla bint 'Asim bin 'Ady","","",Medinah,""
596,"Umm Hakim bint Qariz bin Khalid","","",Medina,""
597,"Ishaq bin Sa'd ibn Abi Waqqas","","",Medina,""
598,"'Umar bin Sa'd ibn Abi Waqqas","~24 AH","66 AH",Medina/kufa,"Abu Hafs"
599,"Yazid ibn 'Abdullah ibn al-Jarrah","","",Makkah/Medina,""
600,"'Abdullah bin Ka'b","","~30 AH/650 CE",Medina,"Abu al-Harith, Abu Yahya"
601,"'Abdur Rahman bin Ka'b","","~23 AH",Medina,"Abu Layla"
602,"Zaid bin Asim Mazni","","",Medina,"Abul Hasan"
603,"Ghaziyah bin 'Amr Mazni","","",Medina,""
604,"Habib bin Zaid Mazni","","10 AH/632 CE",Medinah,""
605,"'Abdullah bin Zayd Mazni","","63 AH/681 CE",Medinah,"Abu Muhammad"
606,"Tameem bin Zayd/Ghaziya Mazni","","",Medina,""
607,"Khawlah bint Ghaziyah Mazni","","",Medina,""
608,"Suraqa bin 'Amr Mazni","","8 AH/629 CE",Medina,""
609,"Sawad bin 'Amr Mazni","","",Medina,""
610,"Ramlah bint al-Harith","","",Medinah,"Umm Thabit"
611,"'Auf bin 'Afra'","","2 AH/624 CE",Medinah,""
612,"Mu'adh bin 'Afra'","","~40 AH",Medinah,""
613,"Mu'awwidh bin 'Afra'","","2 AH/624 CE",Medinah,""
614,"'Afra' bint 'Ubayd b. Tha'laba","","",Medinah,""
615,"Ja'da bint 'Ubayd b. Tha'laba","","",Medinah,""
616,"Khawla bint 'Ubayd b. Tha'laba","","",Medinah,""
617,"ar-Rubbayi' bint Mu'awwidh bin 'Afra'","","45 AH",Medinah,""
618,"'Amira bint Mu'awwidh bin 'Afra'","","",Medinah,""
619,"Fari'a bint Mu'awwidh bin 'Afra'","","",Medinah,""
620,"Habiba bint Qays bin Zayd","","",Medinah,""
621,"Qays bin Zayd b. 'Amir","","",Medinah,""
622,"'Amra bint Mas'ud bin Aws","","",Medinah,""
623,"'Amira bint Mas'ud bin Aws","","",Medinah,""
624,"Suhayma bint Mas'ud bin Aws","","",Medinah,""
625,"Umm Salama bint Mas'ud bin Aws","","",Medinah,""
626,"Habiba bint Mas'ud bin Aws","","",Medinah,""
627,"Umm Jundub bint Mas'ud bin Aws","","",Medinah,""
628,"Layla bint al-Khutaym","","",Medinah,""
629,"Lubna bint al-Khutaym","","",Medinah,""
630,"Jamila bint Abi Sa'sa'a","","",Medina,""
631,"al-Walid bin 'Ubada bin As-Samit","","after 65 AH",Medinah/Syria,""
632,"Qays bin Abi Sa'sa'a","","",Medina,""
633,"Harith bin Abi Sa'sa'a","","12 AH/634 CE",Medina,""
634,"'Abdur Rahman bin Abi Sa'sa'a","","",Medina,""
635,"Jabir bin Abi Sa'sa'a","","12 AH/634 CE",Medina,""
636,"Abu Kalab bin Abi Sa'sa'a","","12 AH/634 CE",Medina,""
637,"Sahal bin Abi Sa'sa'a","","",Medina,""
638,"al-Harith bin Sahal bin Abi Sa'sa'a","","8 AH",Medina,""
639,"'Abbad bin Tameem Mazni","","63 AH",Medina,""
640,"Bashira bint al-Harith","","",Medinah,""
641,"Qays bint al-Khutaym","","",Medinah,""
642,"Thabit bin Qays bint al-Khutaym","","~50 AH/670 CE",Medinah/Kufa,""
643,"Yazid bin Qays bint al-Khutaym","","13 AH/635 CE",Medinah,""
644,"Nasr bin al-Harith","","",Medinah,""
645,"'Amira bint al-Harith","","",Medinah,""
646,"'Amr bin Sahl bin al-Harith","","",Medinah,"Abu Labid"
647,"Umm Sahl bint al-Nu'man","","",Medinah,""
648,"al-Rabi' bin Sahl bin al-Harith","","",Medinah,""
649,"Sahl bin al-Harith bin 'Urwa","","",Medinah,""
650,"Bashira bint al-Nu'man bin al-Harith","","",Medinah,""
651,"'Ubaid bin Aus bin Malik","","",Medinah,""
652,"Umayma bint al-Nu'man bin al-Harith","","",Medinah,""
653,"Abu Namla bin Mu'adh","","",Medinah,"Abu Namla"
654,"Bashira bint Thabit bin al-Nu'man","","",Medinah,""
655,"'Amira bint Thabit bin al-Nu'man","","",Medinah,""
656,"Khalid bin Thabit bin al-Nu'man","","4 AH/626 CE",Medinah,""
657,"Shumayla bint al-Harith","","",Medinah,""
658,"Thabit bin al-Nu'man bin al-Harith","","13 AH/635 CE",Medinah,""
659,"Khalid bin al-Nu'man bin al-Harith","","8 AH/629 CE",Medinah,""
660,"'Aisha bint Jaz' bin 'Amr","","",Medinah,""
661,"'Adi bin Haram","","",Medinah,""
662,"Fadala bin 'Adi bin Haram","","",Medinah,""
663,"Anas bin Fadala bin 'Adi bin Haram","","",Medinah,""
664,"Munis bin Fadala bin 'Adi bin Haram","","",Medinah,""
665,"Muhammad bin Anas bin Fadala","","",Medinah,"Abu Yunus"
666,"Usyar bin 'Urwa bin Sawad","","",Medinah,""
667,"Rafa'a bin Zayd bin 'Amir","","",Medinah,""
668,"'Abdullah bin Tariq","","4 AH/626 CE",Medinah,""
669,"Mu'attib bin 'Ubaid","","3 AH/625 CE",Medinah,""
